condition,final_S_mM,recomputed_v_mM_per_s,recomputed_v_mM_per_min,legacy_v_mM_per_s,legacy_v_mM_per_min,delta_v_mM_per_s,delta_v_mM_per_min,relative_delta_v_pct,recomputed_sd_mM_per_s,recomputed_sd_mM_per_min,legacy_sd_mM_per_s,legacy_sd_mM_per_min
1 mM inhibitor,10.0,0.00021174611302393514,0.012704766781436108,0.0002370995795,0.01422597477,-2.5353466476064847e-05,-0.0015212079885638908,-10.693172265227425,6.22301740076395e-06,0.000373381044045837,7.53e-06,0.0004518
1 mM inhibitor,7.5,0.00021318110464382922,0.012790866278629753,0.000237946956,0.014276817360000001,-2.476585135617078e-05,-0.0014859510813702468,-10.408139600731342,1.08704011014553e-05,0.000652224066087318,1.18e-05,0.0007080000000000001
1 mM inhibitor,5.0,0.00021489297224017598,0.01289357833441056,0.0002393199205,0.01435919523,-2.4426948259824015e-05,-0.001465616895589441,-10.2068178063865,5.486761142472177e-06,0.00032920566854833063,6.1e-06,0.000366
1 mM inhibitor,3.75,0.00021692562893827275,0.013015537736296365,0.0002413455382,0.014480732292,-2.4419909261727242e-05,-0.0014651945557036345,-10.118235225666684,1.1239416061584376e-05,0.0006743649636950625,1.24e-05,0.000744
1 mM inhibitor,2.5,0.00020178602077423465,0.01210716124645408,0.0002242890948,0.013457345688,-2.250307402576536e-05,-0.0013501844415459217,-10.033066496537199,1.1980532055227147e-05,0.0007188319233136289,1.32e-05,0.0007920000000000001
1 mM inhibitor,2.0,0.00018523672685911798,0.011114203611547078,0.0002058101811,0.012348610866,-2.0573454240882018e-05,-0.001234407254452921,-9.996324832388002,5.431768304689303e-06,0.0003259060982813582,5.96e-06,0.00035759999999999996
1 mM inhibitor,1.25,0.00015285265767779458,0.009171159460667676,0.0001697467607,0.010184805642,-1.6894103022205422e-05,-0.0010136461813323254,-9.952533381218991,2.644836457437437e-06,0.00015869018744624623,2.98e-06,0.00017879999999999998
1 mM inhibitor,0.625,0.0001031727714512955,0.00619036628707773,0.0001144436854,0.006866621123999999,-1.1270913948704497e-05,-0.0006762548369222698,-9.848436730528864,3.377820856807225e-06,0.00020266925140843348,3.85e-06,0.00023100000000000003
1 mM inhibitor,0.125,3.088655717964969e-05,0.0018531934307789814,3.42e-05,0.002052,-3.3134428203503076e-06,-0.00019880656922101846,-9.688429299269906,6.711934286904231e-07,4.027160572142539e-05,7.44e-07,4.464e-05
1 mM inhibitor,0.0,6.177609152033658e-08,3.706565491220195e-06,6.85e-08,4.11e-06,-6.723908479663414e-09,-4.0343450877980484e-07,-9.815924787829802,1.0699932920624787e-07,6.419959752374872e-06,1.19e-07,7.139999999999999e-06
